playlist_id,playlist_title,playlist_description,playlist_published_at,total_videos_in_playlist,playlist_url
PLlvsaB0FDEJEIQJVysOtRwAwe2CgMc98S,OCCASION,,2022-03-16 19:01:38.218637+00:00,13,https://www.youtube.com/playlist?list=PLlvsaB0FDEJEIQJVysOtRwAwe2CgMc98S
PLlvsaB0FDEJFZxc1DFcxPny2lFNj6djgG,EURO NCAP,,2021-12-08 10:37:35.220377+00:00,12,https://www.youtube.com/playlist?list=PLlvsaB0FDEJFZxc1DFcxPny2lFNj6djgG
PLlvsaB0FDEJF4DIiRHIaKTNT1O8hkoe2_,Salon de Genève,"Découvrez en vidéo les principales nouveautés dévoilées à l'occasion du salon de Genève lors des éditions 2016, 2017, 2018, 2019 et 2020 !",2020-03-03 18:58:31.517317+00:00,41,https://www.youtube.com/playlist?list=PLlvsaB0FDEJF4DIiRHIaKTNT1O8hkoe2_
PLlvsaB0FDEJFNBfe474lsoxan7tHM37RE,Salon de Francfort,,2019-09-09 17:37:03.703001+00:00,6,https://www.youtube.com/playlist?list=PLlvsaB0FDEJFNBfe474lsoxan7tHM37RE
PLlvsaB0FDEJG4o9DNYvXjEFh4GW1Am_Ow,Salon de Paris,"Découvrez en vidéo les principales nouveautés dévoilées à l'occasion du mondial de l'auto de Paris lors des éditions 2016 et, 2018 !",2018-10-04 18:15:54.253609+00:00,43,https://www.youtube.com/playlist?list=PLlvsaB0FDEJG4o9DNYvXjEFh4GW1Am_Ow
PLlvsaB0FDEJEJQRAErI6gWgLDr-3myio1,AUTO HEBDO,Retour sur toute l'actualité automobile de la semaine au Maroc et dans le monde.,2018-09-19 22:14:00.812730+00:00,67,https://www.youtube.com/playlist?list=PLlvsaB0FDEJEJQRAErI6gWgLDr-3myio1
PLlvsaB0FDEJF6Od1WVIrvaNBNdnAi1-o_,MARCHÉ,"Contenu exclusif signé wandaloo.com : Industrie automobile, palmarès, classement, ventes... Et bien plus encore !",2018-05-05 14:57:57.998271+00:00,67,https://www.youtube.com/playlist?list=PLlvsaB0FDEJF6Od1WVIrvaNBNdnAi1-o_
PLlvsaB0FDEJHondP5NcECEfR75Ydqd1OX,AUTO EXPO,Toutes les nouveautés automobile présentées au public lors de l'Auto Expo ( salon de Casablanca ) lors des éditions 2016 et 2018 !,2018-04-14 20:00:24.329772+00:00,32,https://www.youtube.com/playlist?list=PLlvsaB0FDEJHondP5NcECEfR75Ydqd1OX
PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,NOUVEAUTÉ,"Toutes les nouveautés automobile : Avant-première, premières mondiales, Reveals, spots officiels... Et bien plus encore !",2018-03-23 22:07:28.970132+00:00,413,https://www.youtube.com/playlist?list=PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-
PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,NOUVEAUTÉ MAROC,,2016-10-06 22:31:11.737002+00:00,513,https://www.youtube.com/playlist?list=PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz
PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,TEST DRIVE,Test drive des nouveautés réalisé par wandaloo.com  au Maroc et à l'étranger !,2015-12-03 10:07:40.969725+00:00,193,https://www.youtube.com/playlist?list=PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY
