videoId,playlist_id,brand,title,viewCount,likeCount,commentCount,publishedAt,duration_seconds
KJZs0NouLwg,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,JEEP,JEEP Compass 2026 : lancement au Maroc - الإطلاق الرسمي بالمغرب,2067,19,5,2026-04-30 21:45:06+00:00,259
jhQzy3m0EQ4,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,VW,VW ID Polo 2027 : le spot officiel,1070,6,0,2026-04-30 20:32:30+00:00,127
azQYAsSjKEM,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,GWM,GWM Tank 300 vainqueur Rallye Aïcha des Gazelles 2026,872,4,0,2026-04-29 23:30:06+00:00,175
0LzvCQFQ4-0,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,LEXUS,LEXUS RZ 550e : le spot officiel,1433,9,0,2026-04-29 23:15:01+00:00,77
Cnl_b0afMqM,PLlvsaB0FDEJF6Od1WVIrvaNBNdnAi1-o_,ALFA ROMEO,ALFA ROMEO célèbre son 115ème anniversaire,81,3,0,2026-04-29 23:00:13+00:00,51
PL5INBWvllo,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,JETOUR,JETOUR T1 & G700 : lancement au Maroc - الإطلاق الرسمي بالمغرب,3594,41,3,2026-04-28 21:30:06+00:00,244
I4K9zkVHQ6w,PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,GEELY,GEELY EX5 à l'essai au Maroc,3540,37,4,2026-04-26 21:00:31+00:00,48
E9ej6_rhyl4,PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,GEELY,Essai GEELY EX5 2026 Maroc - تجربة قيادة المغرب,4524,57,14,2026-04-25 22:45:06+00:00,520
QhZU_3zpEO4,PLlvsaB0FDEJG0eoTrNpNKZXLLlXKiEmE-,PORSCHE,PORSCHE Cayenne Coupe EV 2027 : le spot officiel,1162,10,0,2026-04-24 19:00:23+00:00,137
qchxzpIRULs,PLlvsaB0FDEJE0IroL5TSJD75RK4cnxHgY,FORD,Essai FORD Territory 2026 Maroc - تجربة قيادة المغرب,3417,46,8,2026-04-22 22:00:06+00:00,383
kugZ4ykP080,OFF_PLAYLIST,CITROËN,CITROËN C5 AirCross 2026 Maroc,1187,16,2,2026-04-21 23:00:59+00:00,62
A5WJo-Jrt94,PLlvsaB0FDEJGqNWcPIvRM1Fex7rj7cyxz,CUPRA,CUPRA Formentor 2026 Maroc,1886,33,1,2026-04-21 23:00:08+00:00,79
